notion_id;capacite_id;role
MAT_COMPLEMENTS_SUR_LA_DERIVATION;ITM_MAT_TERM_G_2019_02_03_02;PRINCIPALE
MAT_COMPLEMENTS_SUR_LA_DERIVATION;ITM_MAT_TERM_G_2019_02_03_03;PRINCIPALE
MAT_COMPLEMENTS_SUR_LA_DERIVATION;ITM_MAT_TERM_G_2019_02_03_04;PRINCIPALE
MAT_COMPLEMENTS_SUR_LA_DERIVATION;ITM_MAT_TERM_G_2019_02_03_05;PRINCIPALE
MAT_CONTINUITE_DES_FONCTIONS_D_UNE_VARIABLE_REELLE;ITM_MAT_TERM_G_2019_02_04_01;PRINCIPALE
MAT_CONTINUITE_DES_FONCTIONS_D_UNE_VARIABLE_REELLE;ITM_MAT_TERM_G_2019_02_04_02;PRINCIPALE
MAT_FONCTION_LOGARITHME;ITM_MAT_TERM_G_2019_02_05_01;PRINCIPALE
MAT_FONCTION_LOGARITHME;ITM_MAT_TERM_G_2019_02_05_02;PRINCIPALE
MAT_FONCTIONS_SINUS_ET_COSINUS;ITM_MAT_TERM_G_2019_02_06_01;PRINCIPALE
MAT_FONCTIONS_SINUS_ET_COSINUS;ITM_MAT_TERM_G_2019_02_06_02;PRINCIPALE
MAT_PRIMITIVES_EQUATIONS_DIFFERENTIELLES;ITM_MAT_TERM_G_2019_02_07_01;PRINCIPALE
MAT_PRIMITIVES_EQUATIONS_DIFFERENTIELLES;ITM_MAT_TERM_G_2019_02_07_02;PRINCIPALE
MAT_PRIMITIVES_EQUATIONS_DIFFERENTIELLES;ITM_MAT_TERM_G_2019_02_07_03;PRINCIPALE
MAT_CALCUL_INTEGRAL;ITM_MAT_TERM_G_2019_02_08_01;PRINCIPALE
MAT_CALCUL_INTEGRAL;ITM_MAT_TERM_G_2019_02_08_02;PRINCIPALE
MAT_CALCUL_INTEGRAL;ITM_MAT_TERM_G_2019_02_08_03;PRINCIPALE
MAT_CALCUL_INTEGRAL;ITM_MAT_TERM_G_2019_02_08_04;PRINCIPALE
MAT_CALCUL_INTEGRAL;ITM_MAT_TERM_G_2019_02_08_05;PRINCIPALE
MAT_CALCUL_INTEGRAL;ITM_MAT_TERM_G_2019_02_08_06;PRINCIPALE
MAT_SUCCESSION_D_EPREUVES_INDEPENDANTES_SCHEMA_DE_BERNOULLI;ITM_MAT_TERM_G_2019_03_01_01;PRINCIPALE
MAT_SUCCESSION_D_EPREUVES_INDEPENDANTES_SCHEMA_DE_BERNOULLI;ITM_MAT_TERM_G_2019_03_01_02;PRINCIPALE
MAT_SUCCESSION_D_EPREUVES_INDEPENDANTES_SCHEMA_DE_BERNOULLI;ITM_MAT_TERM_G_2019_03_01_03;PRINCIPALE
